wavelength,0,2,4,6,8,10,12,14,16,18,20,25,30,35,40,45,50,60,70,80,90,100
450,48382,47691,46957,46916,45687,45293,45168,44639,44663,42737,43331,40681,39611,39223,37165,35846,35810,34228,32490,32213,28965,26856
475,36670,36151,35589,35217,34625,34347,34157,33801,33646,32269,32594,30332,29294,29128,27689,26622,26379,25031,23710,23286,20660,19009
515,47471,46717,46178,45920,45157,44862,44771,44224,44273,42841,43077,40758,39614,39436,37903,36704,36604,34964,33372,32958,30035,28305
550,16304,15962,15757,15639,15241,15202,15131,14927,14935,14344,14374,13392,12817,12791,12101,11580,11493,10765,10084,9841,8646,7924
555,64489,63618,62854,62751,61395,61029,60429,60218,60306,58391,58658,55834,54412,53971,51782,50159,49961,47841,45648,45160,41250,38875
600,47066,46338,45867,45752,44734,44444,44034,43851,43930,42633,42722,40598,39508,39167,37552,36346,36159,34524,32883,32523,29609,27855
640,29435,28973,28580,28373,27865,27657,27545,27219,27181,26344,26409,24762,23908,23777,22702,21842,21656,20495,19373,19081,17036,15805
690,9871,9658,9499,9411,9123,9087,9044,8901,8892,8423,8477,7738,7334,7306,6811,6435,6367,5863,5378,5198,4343,3836
