wavelength,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,40,40,45,45,45,45,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,80,80,80,80,80,80,80,80,80,80,90,90,90,90,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100
450,47042,47042,47072,47017,47021,47007,47066,47007,47013,47018,47860,47846,47854,47824,47842,47837,47845,47841,47823,47870,47574,47549,47609,47556,47571,47574,47595,47541,47559,47567,47852,47849,47836,47849,47830,47825,47884,47868,47852,47828,47498,47494,47492,47512,47465,47462,47495,47471,47461,47487,47402,47385,47379,47369,47366,47393,47414,47435,47374,47369,46636,46610,46605,46620,46610,46641,46625,46604,46607,46603,46343,46340,46331,46332,46330,46307,46324,46305,46360,46306,46769,46731,46749,46743,46759,46735,46749,46759,46765,46757,46998,46988,46970,46986,47001,46984,46962,46998,46998,46979,46316,46306,46300,46295,46319,46305,46337,46313,46318,46296,46480,46445,46447,46514,46453,46478,46447,46465,46471,46467,46727,46712,46694,46708,46703,46712,46697,46724,46691,46704,46483,46474,46483,46469,46474,46450,46471,46484,46513,46477,45491,45487,45475,45479,45466,45466,45475,45478,45491,45464,45585,45556,45565,45561,45591,45566,45579,45564,45553,45566,45611,45647,45623,45605,45594,45578,45577,45590,45585,45607,46197,46171,46197,46161,46181,46194,46166,46167,46187,46165,46124,46094,46089,46102,46088,46124,46103,46124,46103,46131,45784,45782,45748,45763,45782,45751,45784,45761,45793,45760,45178,45142,45157,45162,45187,45175,45165,45160,45195,45208,44935,44938,44955,44928,44929,44918,44897,44909,44947,44914
475,35461,35449,35477,35448,35436,35437,35464,35442,35458,35457,36026,36017,36014,36016,36002,36005,36005,36014,36019,36027,35853,35839,35838,35845,35832,35854,35876,35864,35850,35840,36161,36140,36157,36175,36186,36140,36154,36186,36162,36132,35343,35337,35339,35368,35327,35330,35317,35331,35320,35334,35710,35704,35698,35689,35713,35690,35698,35724,35690,35685,34597,34582,34576,34594,34590,34591,34586,34582,34570,34618,34432,34433,34420,34416,34408,34434,34448,34420,34450,34413,34664,34656,34639,34649,34658,34684,34677,34656,34661,34666,34835,34827,34822,34813,34833,34811,34831,34811,34824,34831,34555,34552,34556,34536,34553,34549,34560,34546,34543,34550,34683,34669,34669,34692,34675,34673,34662,34662,34684,34667,34420,34422,34408,34414,34404,34402,34410,34396,34399,34411,34361,34336,34339,34348,34375,34355,34332,34356,34377,34332,33957,33937,33954,33959,33941,33936,33951,33936,33930,33932,34047,34029,34041,34041,34066,34068,34043,34034,34023,34044,34098,34107,34084,34077,34084,34093,34092,34096,34090,34076,34732,34712,34728,34725,34715,34721,34712,34711,34713,34712,34849,34846,34839,34825,34848,34847,34823,34836,34846,34831,34537,34532,34540,34542,34512,34535,34515,34528,34560,34538,33502,33499,33488,33483,33510,33519,33477,33501,33509,33505,33484,33476,33493,33459,33466,33456,33476,33473,33476,33466
515,46292,46286,46322,46267,46289,46261,46290,46260,46286,46256,46729,46729,46697,46701,46713,46723,46695,46729,46731,46731,46747,46758,46720,46711,46727,46747,46763,46720,46716,46741,46997,46969,46981,47017,46999,46963,47011,47016,46997,46986,46229,46216,46194,46246,46199,46257,46216,46203,46234,46215,46558,46552,46538,46556,46577,46553,46538,46556,46524,46539,45381,45361,45374,45364,45369,45392,45364,45359,45378,45356,45148,45123,45120,45142,45139,45137,45128,45134,45163,45121,45300,45290,45275,45294,45288,45266,45322,45302,45264,45286,45453,45451,45424,45417,45436,45483,45453,45476,45433,45446,45172,45160,45165,45169,45149,45174,45166,45137,45174,45162,45544,45538,45535,45531,45527,45520,45538,45516,45530,45525,45078,45061,45043,45050,45111,45056,45068,45047,45064,45043,45082,45048,45048,45062,45070,45061,45048,45091,45073,45073,44738,44711,44714,44716,44713,44715,44740,44702,44717,44723,44805,44769,44788,44771,44771,44815,44777,44776,44785,44771,44788,44817,44788,44790,44785,44765,44754,44782,44752,44774,45564,45558,45553,45544,45546,45534,45552,45553,45558,45532,45578,45574,45542,45572,45574,45544,45554,45572,45580,45548,45366,45357,45340,45330,45371,45353,45352,45357,45335,45340,44052,44049,44033,44085,44041,44062,44032,44017,44020,44076,44050,44050,44024,44052,44034,44038,44050,44016,44051,44030
550,15850,15840,15853,15851,15837,15840,15841,15861,15845,15841,16038,16034,16029,16024,16028,16035,16038,16024,16025,16045,15976,15973,15966,15971,15969,15974,15983,15973,15966,15975,16054,16040,16048,16060,16056,16054,16058,16050,16043,16052,15666,15661,15658,15673,15660,15662,15668,15664,15660,15654,15922,15913,15919,15911,15926,15914,15927,15933,15932,15921,15277,15270,15265,15269,15273,15278,15268,15265,15269,15276,15180,15177,15173,15171,15170,15178,15167,15180,15188,15168,15353,15348,15353,15347,15350,15355,15363,15347,15346,15341,15422,15421,15410,15420,15416,15415,15413,15429,15421,15424,15285,15285,15282,15282,15280,15281,15290,15275,15275,15286,15415,15407,15415,15406,15410,15414,15403,15404,15410,15401,15220,15218,15213,15216,15223,15215,15210,15209,15226,15210,15167,15162,15160,15156,15170,15153,15163,15155,15159,15160,15075,15075,15063,15073,15065,15063,15075,15075,15063,15078,15099,15088,15103,15092,15108,15097,15085,15090,15086,15100,15082,15076,15093,15081,15083,15070,15074,15076,15080,15082,15504,15503,15493,15500,15501,15492,15502,15504,15502,15493,15530,15527,15523,15525,15522,15521,15517,15520,15525,15539,15490,15482,15484,15489,15496,15487,15480,15483,15500,15488,14866,14855,14866,14873,14863,14862,14864,14863,14867,14859,14863,14858,14870,14850,14860,14851,14861,14856,14864,14855
555,62523,62511,62512,62490,62491,62498,62563,62476,62478,62521,63265,63254,63269,63230,63230,63241,63248,63257,63235,63253,63228,63259,63193,63195,63203,63231,63183,63192,63196,63191,63540,63512,63501,63569,63542,63535,63552,63502,63527,63499,62770,62767,62746,62771,62756,62767,62776,62756,62746,62747,62964,62954,62925,62921,62951,62968,63001,62986,62916,62945,61503,61453,61460,61498,61464,61471,61491,61507,61486,61489,61390,61341,61359,61378,61388,61344,61368,61380,61382,61392,61444,61435,61440,61403,61400,61450,61476,61418,61398,61444,61624,61582,61603,61581,61626,61658,61600,61651,61626,61640,61140,61110,61103,61094,61138,61143,61091,61138,61137,61131,61562,61521,61515,61526,61530,61520,61551,61518,61547,61553,61391,61388,61359,61351,61404,61355,61369,61363,61417,61353,61295,61260,61259,61256,61296,61292,61279,61311,61280,61253,60500,60463,60459,60498,60464,60467,60462,60501,60469,60520,60651,60616,60616,60618,60632,60629,60605,60604,60612,60645,60575,60615,60529,60525,60564,60579,60575,60532,60536,60538,61770,61748,61748,61760,61722,61772,61741,61734,61720,61727,61777,61781,61744,61731,61741,61744,61730,61772,61742,61767,61512,61494,61508,61472,61537,61508,61470,61462,61507,61507,59952,59938,59954,59907,59984,59907,59910,59933,59997,59927,59688,59656,59698,59686,59677,59653,59649,59686,59715,59647
600,45479,45455,45481,45447,45476,45493,45478,45461,45445,45456,46152,46128,46147,46141,46135,46132,46138,46118,46126,46139,45955,45932,45977,45920,45952,45951,45983,45970,45944,45938,46204,46193,46168,46188,46200,46181,46196,46205,46193,46179,45650,45621,45643,45622,45637,45678,45639,45630,45651,45628,45855,45821,45844,45824,45825,45820,45853,45865,45851,45841,44713,44715,44692,44701,44681,44677,44726,44688,44692,44696,44631,44617,44630,44604,44624,44610,44609,44619,44637,44605,44949,44943,44919,44928,44944,44943,44919,44913,44941,44923,45124,45101,45111,45090,45099,45121,45106,45134,45103,45096,44443,44419,44444,44417,44436,44419,44427,44408,44417,44431,44762,44748,44727,44755,44727,44748,44746,44731,44736,44757,44859,44844,44828,44859,44833,44845,44848,44841,44863,44852,44799,44772,44777,44776,44827,44792,44793,44796,44781,44793,43998,44000,43972,43995,43976,43995,43986,43967,43991,43994,44063,44060,44042,44034,44028,44083,44037,44032,44032,44093,44052,44021,44045,44042,44036,44035,44021,44019,44020,44021,44941,44929,44920,44924,44941,44908,44918,44918,44905,44928,44953,44945,44951,44929,44920,44922,44924,44953,44917,44983,44834,44824,44851,44820,44836,44834,44800,44828,44829,44825,43852,43845,43822,43843,43858,43831,43831,43834,43816,43836,43722,43709,43695,43721,43710,43704,43711,43693,43701,43699
640,28601,28583,28581,28585,28596,28605,28589,28594,28580,28591,28956,28947,28942,28953,28949,28956,28938,28950,28934,28950,28890,28868,28908,28882,28870,28883,28873,28892,28875,28868,28976,28961,28971,28981,28961,28955,28995,28966,28977,28956,28433,28423,28416,28437,28428,28452,28418,28424,28415,28411,28814,28804,28800,28800,28827,28808,28816,28836,28810,28793,27868,27860,27862,27849,27852,27859,27875,27849,27848,27873,27706,27691,27688,27685,27689,27687,27726,27696,27724,27683,27975,27960,27976,27970,27966,27960,27956,27962,27955,27972,28085,28067,28081,28063,28064,28096,28062,28087,28073,28095,27765,27754,27745,27763,27746,27749,27782,27761,27765,27765,28072,28071,28071,28081,28073,28058,28064,28073,28053,28061,27836,27822,27837,27825,27828,27828,27813,27816,27830,27813,27772,27760,27762,27762,27780,27760,27772,27777,27752,27759,27565,27563,27556,27550,27554,27544,27555,27558,27558,27564,27608,27596,27608,27585,27617,27595,27596,27600,27608,27606,27523,27539,27528,27515,27529,27518,27507,27518,27513,27517,28194,28188,28189,28192,28178,28179,28187,28174,28174,28179,28166,28144,28148,28167,28149,28163,28154,28158,28163,28175,28149,28148,28130,28143,28163,28145,28127,28134,28159,28137,27216,27212,27200,27220,27201,27234,27210,27212,27234,27201,27314,27294,27291,27308,27312,27298,27304,27302,27334,27308
690,9553,9548,9551,9549,9548,9545,9550,9548,9547,9550,9675,9669,9672,9671,9670,9675,9674,9667,9674,9677,9631,9629,9625,9624,9628,9629,9625,9624,9629,9624,9676,9668,9671,9682,9674,9674,9672,9679,9674,9669,9379,9373,9377,9377,9375,9374,9378,9379,9379,9375,9599,9592,9592,9596,9596,9595,9597,9599,9604,9593,9088,9085,9083,9084,9081,9094,9085,9082,9084,9089,9017,9011,9017,9013,9016,9015,9021,9011,9010,9011,9153,9151,9153,9150,9149,9154,9152,9146,9151,9153,9210,9210,9203,9207,9206,9209,9208,9206,9207,9203,9125,9122,9123,9119,9124,9121,9130,9121,9121,9119,9205,9202,9198,9203,9204,9201,9203,9202,9200,9205,9064,9058,9061,9058,9068,9058,9059,9061,9070,9059,9011,9011,9010,9007,9014,9005,9007,9007,9008,9011,8924,8924,8922,8918,8918,8918,8919,8918,8919,8921,8950,8947,8953,8947,8944,8942,8949,8947,8945,8956,8945,8949,8937,8940,8947,8943,8940,8942,8940,8942,9258,9257,9252,9255,9250,9254,9257,9251,9250,9253,9274,9270,9267,9271,9267,9268,9270,9266,9270,9277,9260,9256,9257,9266,9258,9256,9260,9258,9256,9256,8798,8791,8797,8794,8802,8802,8795,8793,8792,8798,8793,8787,8793,8789,8790,8786,8792,8792,8799,8792
