wavelength,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,40,40,45,45,45,45,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,80,80,80,80,80,80,80,80,80,80,90,90,90,90,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100
450,47301,47286,47276,47270,47246,47231,47231,47187,47223,47196,46934,46904,46905,46887,46881,46874,46840,46820,46774,46737,48036,47985,47931,47886,47885,47858,47855,47799,47781,47745,46573,46588,46551,46516,46491,46454,46412,46368,46347,46338,47039,46992,46966,46939,46890,46889,46868,46870,46816,46775,47102,47078,47051,47001,46964,46918,46903,46857,46851,46849,46705,46678,46662,46646,46628,46610,46580,46556,46510,46512,45830,45797,45751,45714,45673,45655,45606,45578,45548,45548,46838,46823,46767,46758,46716,46682,46684,46663,46611,46596,46512,46476,46438,46397,46369,46330,46276,46233,46224,46214,46182,46194,46168,46159,46152,46119,46090,46051,45994,45935,47357,47338,47312,47263,47263,47247,47194,47164,47105,47069,46867,46870,46818,46821,46785,46758,46750,46748,46716,46687,46187,46168,46129,46080,46054,46042,46005,45947,45893,45845,46062,46009,45957,45926,45925,45877,45850,45841,45811,45753,45823,45808,45763,45762,45738,45696,45666,45625,45571,45580,45497,45489,45449,45437,45430,45421,45386,45351,45330,45309,44888,44848,44791,44737,44706,44686,44684,44656,44627,44614,44125,44091,44038,44063,44042,44050,44041,44042,44043,43995,44170,44153,44148,44147,44145,44112,44081,44084,44045,44043,42720,42680,42623,42570,42511,42463,42427,42387,42338,42315,41872,41842,41829,41820,41803,41776,41740,41736,41712,41666
475,35000,34998,34975,34937,34906,34881,34856,34848,34860,34815,35351,35326,35293,35295,35257,35258,35252,35251,35211,35184,35969,35947,35909,35867,35840,35817,35800,35755,35752,35737,34676,34633,34593,34553,34532,34487,34455,34428,34409,34370,34684,34665,34646,34629,34595,34595,34566,34532,34554,34534,34839,34823,34785,34754,34739,34726,34697,34665,34641,34606,34744,34733,34731,34708,34697,34659,34626,34620,34617,34618,34065,34053,34018,34004,34000,33960,33953,33945,33912,33910,34711,34684,34681,34658,34631,34610,34612,34573,34530,34489,34508,34506,34499,34468,34438,34417,34380,34344,34330,34304,34323,34338,34296,34297,34255,34224,34180,34176,34144,34100,35446,35425,35421,35399,35399,35393,35382,35355,35315,35290,35060,35041,35014,34992,34971,34951,34930,34917,34886,34852,35090,35086,35049,35022,34985,34946,34927,34928,34920,34916,34317,34275,34263,34221,34182,34151,34115,34085,34091,34075,34602,34584,34563,34539,34505,34506,34461,34416,34405,34414,34388,34348,34333,34335,34323,34307,34264,34249,34211,34198,34099,34124,34102,34076,34074,34076,34047,34030,34019,33976,33277,33237,33204,33188,33158,33132,33133,33133,33109,33070,33268,33230,33232,33224,33180,33149,33126,33093,33094,33088,31995,31986,31953,31942,31906,31861,31841,31834,31826,31807,31420,31378,31334,31292,31278,31253,31247,31232,31217,31210
515,45656,45652,45646,45622,45566,45541,45509,45503,45478,45464,45970,45932,45885,45903,45844,45808,45749,45707,45669,45650,46662,46615,46595,46580,46553,46517,46530,46472,46460,46433,45366,45392,45364,45366,45339,45333,45298,45270,45242,45231,45337,45283,45234,45223,45204,45190,45151,45146,45168,45158,45566,45538,45525,45478,45467,45454,45437,45382,45343,45327,45537,45519,45478,45447,45413,45406,45379,45332,45304,45254,44632,44617,44580,44582,44525,44483,44460,44404,44370,44311,45260,45242,45211,45198,45157,45110,45098,45039,45030,44986,45081,45022,44963,44956,44928,44950,44951,44901,44898,44864,45105,45052,44996,44974,44940,44881,44880,44860,44804,44790,46073,46017,45964,45918,45876,45830,45799,45767,45740,45704,45690,45637,45629,45621,45601,45580,45521,45504,45493,45445,45689,45669,45628,45627,45604,45557,45520,45469,45421,45407,44834,44784,44770,44731,44728,44689,44673,44652,44646,44646,45228,45169,45127,45079,45033,45019,44987,44936,44878,44879,44964,44910,44877,44825,44807,44806,44808,44795,44789,44742,44672,44616,44588,44550,44549,44526,44470,44458,44414,44414,43665,43661,43624,43638,43615,43556,43525,43499,43470,43427,43876,43876,43844,43826,43826,43790,43771,43724,43669,43624,42498,42459,42416,42374,42315,42277,42267,42232,42201,42194,41690,41643,41613,41560,41513,41466,41448,41389,41384,41343
550,15405,15387,15384,15373,15352,15348,15348,15342,15329,15318,15592,15573,15558,15549,15532,15527,15517,15510,15504,15500,15905,15896,15885,15864,15858,15850,15857,15852,15840,15833,15272,15267,15262,15259,15244,15227,15213,15208,15187,15175,15247,15239,15230,15214,15193,15187,15188,15181,15174,15172,15340,15325,15315,15311,15305,15296,15281,15270,15269,15266,15420,15408,15400,15397,15386,15375,15358,15349,15329,15316,15065,15054,15046,15026,15016,15008,14998,14983,14968,14968,15286,15272,15269,15262,15262,15245,15243,15223,15209,15197,15215,15213,15210,15192,15184,15168,15162,15158,15154,15153,15233,15221,15205,15203,15199,15183,15183,15183,15178,15171,15747,15745,15742,15732,15712,15693,15687,15679,15674,15655,15555,15551,15550,15530,15528,15525,15508,15504,15498,15478,15552,15553,15552,15551,15548,15540,15539,15527,15516,15499,15229,15222,15204,15190,15186,15176,15175,15173,15175,15171,15376,15362,15345,15324,15313,15303,15297,15291,15276,15283,15266,15256,15241,15223,15217,15217,15198,15187,15184,15163,15076,15074,15062,15047,15027,15010,14990,14977,14960,14959,14736,14731,14727,14737,14727,14710,14705,14698,14683,14664,14832,14827,14807,14806,14788,14771,14757,14746,14733,14726,14192,14192,14190,14183,14174,14173,14174,14157,14137,14118,13892,13871,13867,13853,13845,13838,13832,13823,13816,13802
555,62048,62015,62016,61960,61892,61884,61860,61821,61859,61833,62482,62464,62468,62497,62493,62452,62444,62422,62389,62359,63268,63240,63230,63172,63149,63150,63087,63082,63022,62973,61313,61362,61287,61210,61168,61135,61081,61062,61039,60991,61675,61622,61588,61554,61538,61458,61408,61367,61301,61241,61771,61716,61646,61617,61540,61502,61498,61498,61423,61346,61661,61662,61583,61522,61466,61408,61390,61329,61324,61303,60555,60482,60486,60437,60383,60339,60342,60327,60287,60230,61480,61465,61447,61445,61399,61358,61348,61294,61235,61190,61222,61191,61187,61145,61122,61138,61058,61061,61001,60934,61111,61154,61134,61087,61081,61031,60988,60941,60933,60932,62719,62647,62583,62571,62516,62513,62502,62485,62469,62427,62212,62196,62164,62117,62069,61996,61945,61885,61830,61779,62089,62048,62046,62019,61980,61942,61897,61900,61822,61756,61371,61362,61305,61285,61205,61163,61107,61088,61093,61057,61549,61525,61465,61442,61383,61341,61271,61253,61200,61217,61284,61216,61188,61185,61115,61108,61082,61016,60958,60933,60868,60904,60878,60817,60740,60694,60677,60659,60612,60561,59808,59810,59751,59751,59725,59696,59658,59634,59610,59551,59822,59818,59771,59755,59758,59723,59698,59637,59585,59519,58338,58326,58296,58257,58249,58176,58102,58100,58094,58034,57136,57100,57093,57071,57051,56994,56968,56936,56932,56902
600,45252,45202,45158,45117,45097,45057,45024,44999,44999,44971,45488,45470,45424,45449,45413,45395,45392,45373,45365,45317,46217,46168,46117,46101,46085,46068,46022,45973,45932,45903,44591,44612,44581,44536,44493,44444,44429,44464,44446,44389,45007,44980,44928,44917,44910,44881,44841,44800,44757,44722,45105,45087,45076,45077,45020,45006,44961,44938,44904,44852,44866,44810,44779,44750,44724,44712,44699,44667,44648,44594,44178,44135,44082,44061,44046,44046,44040,44074,44036,43992,44965,44954,44912,44913,44910,44898,44858,44825,44821,44813,44753,44714,44665,44626,44620,44566,44553,44504,44470,44460,44480,44498,44450,44416,44416,44406,44356,44357,44323,44265,45881,45863,45824,45825,45815,45758,45756,45750,45751,45709,45457,45443,45444,45427,45404,45355,45324,45291,45273,45256,45257,45205,45155,45107,45107,45060,45030,45023,45012,44980,44821,44792,44783,44761,44711,44708,44650,44602,44577,44538,44942,44934,44915,44866,44822,44801,44772,44744,44742,44708,44709,44701,44672,44662,44647,44625,44571,44537,44499,44473,44308,44320,44291,44280,44234,44177,44166,44160,44141,44099,43616,43605,43580,43559,43556,43568,43534,43490,43477,43423,43603,43586,43582,43537,43506,43474,43435,43406,43352,43344,42479,42450,42425,42386,42356,42302,42279,42247,42228,42214,41816,41790,41735,41697,41656,41602,41576,41524,41484,41472
640,28094,28058,28052,28023,28006,27984,27966,27961,27971,27960,28347,28331,28331,28303,28269,28244,28239,28213,28193,28170,28835,28820,28816,28784,28750,28713,28712,28693,28681,28647,27790,27753,27721,27693,27659,27647,27610,27626,27607,27599,27875,27870,27848,27847,27837,27827,27824,27789,27808,27799,28006,27978,27971,27950,27933,27931,27899,27865,27845,27835,28102,28102,28081,28047,28068,28068,28064,28035,28025,27998,27555,27544,27534,27515,27486,27459,27451,27426,27426,27411,27912,27907,27885,27857,27851,27826,27790,27766,27765,27759,27828,27810,27788,27780,27765,27732,27711,27707,27707,27688,27819,27829,27811,27805,27802,27793,27789,27782,27766,27761,28592,28577,28543,28538,28520,28490,28462,28439,28418,28412,28293,28272,28245,28208,28185,28171,28172,28162,28148,28130,28216,28212,28182,28158,28136,28137,28115,28107,28074,28040,27850,27829,27794,27791,27789,27758,27758,27725,27724,27717,28047,28018,27997,27967,27962,27929,27904,27893,27873,27842,27781,27764,27738,27729,27728,27692,27664,27639,27616,27612,27663,27671,27671,27653,27642,27627,27627,27593,27582,27551,27026,27004,26987,26991,26976,26943,26914,26900,26884,26874,27186,27162,27146,27129,27100,27080,27071,27061,27031,27002,26323,26308,26300,26291,26281,26270,26254,26234,26234,26230,25768,25738,25729,25726,25697,25687,25688,25676,25647,25647
690,9216,9215,9209,9199,9197,9195,9186,9183,9189,9182,9348,9339,9336,9334,9334,9330,9319,9309,9297,9288,9600,9600,9589,9586,9574,9564,9565,9553,9545,9539,9086,9084,9073,9065,9063,9051,9046,9049,9042,9037,9093,9092,9081,9074,9066,9061,9059,9052,9044,9041,9156,9156,9150,9144,9135,9130,9130,9128,9126,9117,9209,9203,9195,9184,9190,9178,9169,9162,9159,9154,8932,8928,8918,8918,8916,8916,8910,8910,8905,8899,9111,9109,9103,9102,9097,9089,9085,9083,9072,9069,9064,9061,9056,9048,9039,9036,9034,9033,9033,9033,9063,9059,9057,9054,9042,9040,9028,9021,9016,9012,9483,9473,9463,9452,9447,9443,9434,9430,9419,9417,9303,9301,9292,9282,9277,9273,9272,9270,9264,9262,9302,9298,9289,9285,9282,9280,9276,9266,9261,9258,9075,9068,9067,9056,9056,9048,9040,9030,9031,9029,9163,9153,9151,9141,9131,9127,9117,9110,9108,9106,9072,9064,9063,9058,9056,9053,9048,9038,9032,9027,8906,8896,8884,8883,8882,8879,8873,8872,8865,8853,8681,8679,8671,8676,8671,8671,8666,8663,8660,8657,8711,8702,8695,8689,8680,8678,8672,8667,8656,8648,8242,8238,8234,8224,8216,8214,8204,8202,8191,8185,8005,8000,7992,7986,7981,7980,7978,7972,7963,7958
