percent,MSI_ref,AS7343,group,species
0,0.0,0.0,chlorophyte,SP012-ORA2
2,0.000555999984499,0.0187264200705853,chlorophyte,SP012-ORA2
4,-0.0002809999859891,0.0399630754381693,chlorophyte,SP012-ORA2
6,0.0029460000805556,0.0451002806816932,chlorophyte,SP012-ORA2
8,0.0088170003145933,0.0484215130322885,chlorophyte,SP012-ORA2
10,0.0169990006834268,0.0512643800218908,chlorophyte,SP012-ORA2
12,0.0064070001244544,0.0580263647470308,chlorophyte,SP012-ORA2
14,0.0026239999569952,0.0536470566487621,chlorophyte,SP012-ORA2
16,0.0109310001134872,0.0676565354726241,chlorophyte,SP012-ORA2
18,0.0117889996618032,0.0560577721019751,chlorophyte,SP012-ORA2
20,0.0212420001626014,0.066210599655206,chlorophyte,SP012-ORA2
25,0.0200190003961324,0.0739161948488404,chlorophyte,SP012-ORA2
30,0.0249290000647306,0.0928642026794985,chlorophyte,SP012-ORA2
35,0.0275240000337362,0.0809481872960514,chlorophyte,SP012-ORA2
40,0.0235200002789497,0.0839771019568487,chlorophyte,SP012-ORA2
45,0.0253219995647668,0.0840920141066368,chlorophyte,SP012-ORA2
50,0.0179219990968704,0.0909415928981209,chlorophyte,SP012-ORA2
60,0.0225879997014999,0.1120836338870531,chlorophyte,SP012-ORA2
70,0.0264800004661083,0.1338272568672608,chlorophyte,SP012-ORA2
80,0.0326899997889995,0.1441465141643776,chlorophyte,SP012-ORA2
90,0.0416710004210472,0.1648608888285811,chlorophyte,SP012-ORA2
100,0.0634270012378692,0.1839795251478971,chlorophyte,SP012-ORA2
0,0.0,0.0,diatom,p. nitzchia
2,-0.0001170000032288,-0.0093957969683199,diatom,p. nitzchia
4,-9.100000170292331e-05,-0.0097809225668153,diatom,p. nitzchia
6,0.0024359999224543,-0.0151146098997856,diatom,p. nitzchia
8,0.0007869999972172,0.0013618531952072,diatom,p. nitzchia
10,-1.2000000424450263e-05,-0.005729687188284,diatom,p. nitzchia
12,0.0164810009300708,0.0198756447376594,diatom,p. nitzchia
14,0.0029949999880045,0.0250231778924513,diatom,p. nitzchia
16,0.0008280000183731,0.021662127496843,diatom,p. nitzchia
18,0.0012540000025182,0.0182903349400233,diatom,p. nitzchia
20,0.0081879999488592,0.0244917341244074,diatom,p. nitzchia
25,0.0096020000055432,0.0162902683370505,diatom,p. nitzchia
30,0.0066309999674558,0.0265748373707528,diatom,p. nitzchia
35,0.0036909999325871,0.0264861062260627,diatom,p. nitzchia
40,0.008220000192523,0.0341459076499108,diatom,p. nitzchia
45,0.0059819999150931,0.0326494196496485,diatom,p. nitzchia
50,0.0104040000587701,0.0330289135878808,diatom,p. nitzchia
60,0.0092569999396801,0.0158512289481657,diatom,p. nitzchia
70,0.0121079999953508,0.0155440160252519,diatom,p. nitzchia
80,0.0156709998846054,0.0202062341816435,diatom,p. nitzchia
90,0.0223210006952285,0.0495984056831336,diatom,p. nitzchia
100,0.0201210007071495,0.0496438076036427,diatom,p. nitzchia
0,0.0,0.0,dinoflagellate,t. tetrahele
2,0.0,0.0160108741482192,dinoflagellate,t. tetrahele
4,-7.599999662488699e-05,0.027615504080912,dinoflagellate,t. tetrahele
6,0.004583999980241,0.0332182462664128,dinoflagellate,t. tetrahele
8,0.0024929998908191,0.0499736916723058,dinoflagellate,t. tetrahele
10,0.0242219995707273,0.0565278870318903,dinoflagellate,t. tetrahele
12,0.0146810002624988,0.0585583898883303,dinoflagellate,t. tetrahele
14,0.0435779988765716,0.070851370132519,dinoflagellate,t. tetrahele
16,0.0436940006911754,0.0697439878482072,dinoflagellate,t. tetrahele
