percent,MSI_ref,AS7343,group,species
0,0.0,0.0,chlorophyte,SP012-ORA2
2,0.0008570000063627,0.0150303846792745,chlorophyte,SP012-ORA2
4,0.000253000005614,0.0444929733433356,chlorophyte,SP012-ORA2
6,0.0041649998165667,0.0466063639641063,chlorophyte,SP012-ORA2
8,0.0104430001229047,0.053690679260506,chlorophyte,SP012-ORA2
10,0.0207240004092454,0.0584197478191699,chlorophyte,SP012-ORA2
12,0.0086300000548362,0.066248821021862,chlorophyte,SP012-ORA2
14,0.004226999823004,0.0570444870123603,chlorophyte,SP012-ORA2
16,0.0143510000780224,0.0743394085026259,chlorophyte,SP012-ORA2
18,0.0144170001149177,0.0581139708155862,chlorophyte,SP012-ORA2
20,0.0239029992371797,0.0725875314399081,chlorophyte,SP012-ORA2
25,0.0226949993520975,0.0795242838762299,chlorophyte,SP012-ORA2
30,0.0276110004633665,0.0972386019322038,chlorophyte,SP012-ORA2
35,0.0313579998910427,0.0886236093052872,chlorophyte,SP012-ORA2
40,0.0276570003479719,0.0859030698152168,chlorophyte,SP012-ORA2
45,0.026503000408411,0.0845792052843015,chlorophyte,SP012-ORA2
50,0.0189869999885559,0.1064096293904666,chlorophyte,SP012-ORA2
60,0.0250640008598566,0.1200702244052639,chlorophyte,SP012-ORA2
70,0.0291559994220733,0.153138115361386,chlorophyte,SP012-ORA2
80,0.0361820012331008,0.1529220055767749,chlorophyte,SP012-ORA2
90,0.0449009984731674,0.1813659433162831,chlorophyte,SP012-ORA2
100,0.0678030028939247,0.2099053058749154,chlorophyte,SP012-ORA2
0,0.0,0.0,diatom,p. nitzchia
2,3.999999989900971e-06,-0.0172392627868753,diatom,p. nitzchia
4,4.999999873689376e-06,-0.0112455738249649,diatom,p. nitzchia
6,0.0018350000027567,-0.0170720946153058,diatom,p. nitzchia
8,0.0007089999853633,-0.0096467851976342,diatom,p. nitzchia
10,-5.199999941396527e-05,-0.0076236022103602,diatom,p. nitzchia
12,0.0248610004782676,0.0086680446223068,diatom,p. nitzchia
14,0.0033770001027733,0.0149705638981017,diatom,p. nitzchia
16,0.0011869999580085,0.0058202294114211,diatom,p. nitzchia
18,0.0021629999391734,0.0009357720801954,diatom,p. nitzchia
20,0.0083809997886419,0.0155533459433253,diatom,p. nitzchia
25,0.0098169995471835,0.012018707149696,diatom,p. nitzchia
30,0.008751000277698,0.0067186636294657,diatom,p. nitzchia
35,0.0057399999350309,0.0119541653427181,diatom,p. nitzchia
40,0.0109569998458027,0.033526315499684,diatom,p. nitzchia
45,0.0088750002905726,0.0314621046564857,diatom,p. nitzchia
50,0.0128359999507665,0.0308919041936487,diatom,p. nitzchia
60,0.0124190002679824,0.0181259587789664,diatom,p. nitzchia
70,0.0162560008466243,0.0197073977844821,diatom,p. nitzchia
80,0.0208049993962049,0.0271061345865506,diatom,p. nitzchia
90,0.0298970006406307,0.0404305770082684,diatom,p. nitzchia
100,0.0279479995369911,0.0458238185830151,diatom,p. nitzchia
0,0.0,0.0,dinoflagellate,t. tetrahele
2,0.0,0.0143851428770323,dinoflagellate,t. tetrahele
4,0.0004509999998845,0.0298955544014444,dinoflagellate,t. tetrahele
6,0.0059520001523196,0.0307690750646181,dinoflagellate,t. tetrahele
8,0.0052769999019801,0.0573140501862132,dinoflagellate,t. tetrahele
10,0.0326899997889995,0.0659753485614794,dinoflagellate,t. tetrahele
12,0.0178689993917942,0.0687389722127432,dinoflagellate,t. tetrahele
14,0.0568449981510639,0.0805199273354289,dinoflagellate,t. tetrahele
16,0.0528470017015934,0.0799824253628455,dinoflagellate,t. tetrahele
18,0.0354579985141754,0.1240627881541834,dinoflagellate,t. tetrahele
20,0.0711160004138946,0.1102595295400062,dinoflagellate,t. tetrahele
25,0.0671020001173019,0.1733666907414243,dinoflagellate,t. tetrahele
30,0.0598639994859695,0.2000209862587679,dinoflagellate,t. tetrahele
35,0.0864669978618621,0.2098645342950832,dinoflagellate,t. tetrahele
40,0.1066719964146614,0.2637603855466198,dinoflagellate,t. tetrahele
45,0.0966830030083656,0.2998958589144712,dinoflagellate,t. tetrahele
50,0.1148049980401992,0.3009006597135354,dinoflagellate,t. tetrahele
60,0.1322170048952102,0.3460838211680682,dinoflagellate,t. tetrahele
70,0.1498329937458038,0.3981954940428677,dinoflagellate,t. tetrahele
80,0.1645839959383011,0.4067577459411384,dinoflagellate,t. tetrahele
90,0.1884160041809082,0.5130396391752893,dinoflagellate,t. tetrahele
100,0.2023119926452636,0.5886385840461429,dinoflagellate,t. tetrahele
0,0.0,0.0,dinoflagellate,pavlova
2,-0.0003269999870099,0.0106132211099777,dinoflagellate,pavlova
4,0.0083020003512501,0.0192448536486529,dinoflagellate,pavlova
6,0.0091869998723268,0.0394928703157645,dinoflagellate,pavlova
8,0.0134439999237656,0.0472037101409883,dinoflagellate,pavlova
10,0.0145910000428557,0.0569485871170137,dinoflagellate,pavlova
12,0.0172359999269247,0.0529823714017514,dinoflagellate,pavlova
14,0.0201450008898973,0.0731065305044618,dinoflagellate,pavlova
16,0.021493999287486,0.074960306147845,dinoflagellate,pavlova
18,0.0264459997415542,0.1063196643025496,dinoflagellate,pavlova
20,0.0292310006916522,0.1053973889841272,dinoflagellate,pavlova
25,0.0395850017666816,0.1098783869195438,dinoflagellate,pavlova
30,0.0373950004577636,0.1431598770719608,dinoflagellate,pavlova
35,0.0530570000410079,0.1322344485518365,dinoflagellate,pavlova
40,0.0689399987459182,0.1796702440846276,dinoflagellate,pavlova
45,0.0791409984230995,0.188797034284483,dinoflagellate,pavlova
50,0.0756589993834495,0.2086577809578798,dinoflagellate,pavlova
60,0.0915950015187263,0.2646504448753746,dinoflagellate,pavlova
70,0.1109829992055893,0.285182468186699,dinoflagellate,pavlova
80,0.1471939980983734,0.3262332181919045,dinoflagellate,pavlova
90,0.159168004989624,0.3606175439144257,dinoflagellate,pavlova
100,0.1809699982404709,0.3967505459877795,dinoflagellate,pavlova
0,0.0,0.0,dinoflagellate,s. zambalensis
2,-0.000250999990385,0.007789077423051,dinoflagellate,s. zambalensis
4,-0.0,-0.0154192928749824,dinoflagellate,s. zambalensis
6,0.0021760000381618,0.0155104628500314,dinoflagellate,s. zambalensis
8,0.005656000226736,0.0055543920624494,dinoflagellate,s. zambalensis
10,0.0080350004136562,0.0042159739575928,dinoflagellate,s. zambalensis
12,0.0104799997061491,0.0126802115986422,dinoflagellate,s. zambalensis
14,0.0086019998416304,0.0315925384024218,dinoflagellate,s. zambalensis
16,0.0129019999876618,0.0098365976537962,dinoflagellate,s. zambalensis
18,0.0124589996412396,0.0168210931069343,dinoflagellate,s. zambalensis
20,0.0144199999049305,0.0239413251432189,dinoflagellate,s. zambalensis
25,0.0164839997887611,-0.0011832070513477,dinoflagellate,s. zambalensis
30,0.0173359997570514,0.009217633864759,dinoflagellate,s. zambalensis
35,0.0180980004370212,0.0238330637134127,dinoflagellate,s. zambalensis
40,0.0307819992303848,0.0265431218496378,dinoflagellate,s. zambalensis
45,0.0278699994087219,0.0317452884490892,dinoflagellate,s. zambalensis
50,0.0365259982645511,0.0388850472062299,dinoflagellate,s. zambalensis
60,0.0492810010910034,0.0523609384747836,dinoflagellate,s. zambalensis
70,0.0459650009870529,0.0695049216699934,dinoflagellate,s. zambalensis
80,0.0536440014839172,0.0684856113150192,dinoflagellate,s. zambalensis
90,0.0609910003840923,0.1018642422715149,dinoflagellate,s. zambalensis
100,0.0613339990377426,0.1219140911356643,dinoflagellate,s. zambalensis
