percent,MSI_ref,AS7343,group,species
0,0.0,0.0,chlorophyte,SP012-ORA2
2,0.0006409999914467,0.0212104379113513,chlorophyte,SP012-ORA2
4,5.199999941396527e-05,0.0474152901485898,chlorophyte,SP012-ORA2
6,0.0037950000260025,0.0542272662661247,chlorophyte,SP012-ORA2
8,0.0098559996113181,0.0591631104428883,chlorophyte,SP012-ORA2
10,0.0193920005112886,0.063421663139357,chlorophyte,SP012-ORA2
12,0.0079969996586442,0.0723179181744292,chlorophyte,SP012-ORA2
14,0.0040199998766183,0.0689321264192853,chlorophyte,SP012-ORA2
16,0.0136940004304051,0.085857317401309,chlorophyte,SP012-ORA2
18,0.0139049999415874,0.0706677527834713,chlorophyte,SP012-ORA2
20,0.0231890007853508,0.0836178085598439,chlorophyte,SP012-ORA2
25,0.022036999464035,0.0942024563367375,chlorophyte,SP012-ORA2
30,0.0266009997576475,0.1148518880825594,chlorophyte,SP012-ORA2
35,0.0306109990924596,0.1016151644395134,chlorophyte,SP012-ORA2
40,0.0267869997769594,0.1077073578837233,chlorophyte,SP012-ORA2
45,0.0268660001456737,0.1075545998368961,chlorophyte,SP012-ORA2
50,0.0196790006011724,0.1164533667124901,chlorophyte,SP012-ORA2
60,0.0254319999366998,0.1431599341948544,chlorophyte,SP012-ORA2
70,0.0298510007560253,0.1699813424512141,chlorophyte,SP012-ORA2
80,0.0368859991431236,0.1826124004346234,chlorophyte,SP012-ORA2
90,0.0457650013267993,0.2078229790031643,chlorophyte,SP012-ORA2
100,0.0693190023303031,0.2343096081059242,chlorophyte,SP012-ORA2
0,0.0,0.0,diatom,p. nitzchia
2,-5.299999975250103e-05,-0.0158073989633175,diatom,p. nitzchia
4,-5.299999975250103e-05,-0.0109937445148044,diatom,p. nitzchia
6,0.0020369999110698,-0.0195476889707944,diatom,p. nitzchia
8,0.0005859999801032,0.0033331481059571,diatom,p. nitzchia
10,-3.199999991920777e-05,-0.0069972605683079,diatom,p. nitzchia
12,0.0208369996398687,0.024666527935796,diatom,p. nitzchia
