percent,MSI_ref,AS7343,group,species
14,0.0030380000825971,0.0294471364987298,diatom,p. nitzchia
16,0.0010039999615401,0.0227318166004409,diatom,p. nitzchia
18,0.0017180000431835,0.0178108725559669,diatom,p. nitzchia
20,0.0082130003720521,0.0258812434946914,diatom,p. nitzchia
25,0.0096519999206066,0.0221838476767547,diatom,p. nitzchia
30,0.0079370001330971,0.0297957102546558,diatom,p. nitzchia
35,0.0047880001366138,0.0315113007366489,diatom,p. nitzchia
40,0.0095039997249841,0.0433384827196563,diatom,p. nitzchia
45,0.0075830002315342,0.0406915780509374,diatom,p. nitzchia
50,0.0117800002917647,0.0391947694950096,diatom,p. nitzchia
60,0.0110929999500513,0.0207720488396503,diatom,p. nitzchia
70,0.0142050003632903,0.0174090586477997,diatom,p. nitzchia
80,0.018402000889182,0.0264022879110415,diatom,p. nitzchia
90,0.0264560002833604,0.0568283624965542,diatom,p. nitzchia
100,0.0243730004876852,0.0573657882402392,diatom,p. nitzchia
0,0.0,0.0,dinoflagellate,t. tetrahele
2,0.0,0.0142543713437722,dinoflagellate,t. tetrahele
4,0.0009769999887794,0.0299223807361587,dinoflagellate,t. tetrahele
6,0.0064050001092255,0.0404300615187398,dinoflagellate,t. tetrahele
8,0.005036000162363,0.057383017575732,dinoflagellate,t. tetrahele
10,0.0301750004291534,0.0654443034734495,dinoflagellate,t. tetrahele
12,0.0179159995168447,0.0709914390334958,dinoflagellate,t. tetrahele
14,0.0529740005731582,0.0814685942330961,dinoflagellate,t. tetrahele
16,0.0508259981870651,0.086064803786266,dinoflagellate,t. tetrahele
18,0.0351420007646083,0.127851965033761,dinoflagellate,t. tetrahele
20,0.0698510035872459,0.1178307597294375,dinoflagellate,t. tetrahele
25,0.0658750012516975,0.1897557212445455,dinoflagellate,t. tetrahele
30,0.0587170012295246,0.2245762651871191,dinoflagellate,t. tetrahele
35,0.0856589972972869,0.2302590712101023,dinoflagellate,t. tetrahele
40,0.1051670014858245,0.2809237596731158,dinoflagellate,t. tetrahele
45,0.0954589992761612,0.3202210404584072,dinoflagellate,t. tetrahele
50,0.1144500002264976,0.3293907430182598,dinoflagellate,t. tetrahele
60,0.1321090012788772,0.381843925380083,dinoflagellate,t. tetrahele
70,0.1498010009527206,0.4360620820059205,dinoflagellate,t. tetrahele
80,0.1645530015230178,0.4541066604684104,dinoflagellate,t. tetrahele
90,0.1886949986219406,0.5737595183917421,dinoflagellate,t. tetrahele
100,0.2022529989480972,0.6570464308592182,dinoflagellate,t. tetrahele
0,0.0,0.0,dinoflagellate,pavlova
2,-0.0003389999910723,0.0130366979201544,dinoflagellate,pavlova
4,0.0082980003207921,0.0231235407317457,dinoflagellate,pavlova
6,0.0093830004334449,0.0553715125729556,dinoflagellate,pavlova
8,0.0134760001674294,0.0644909581028209,dinoflagellate,pavlova
10,0.0147069999948143,0.0723659400318243,dinoflagellate,pavlova
12,0.0175369996577501,0.0603433924995118,dinoflagellate,pavlova
14,0.0204199999570846,0.0895641383290448,dinoflagellate,pavlova
16,0.0218390002846717,0.0977609055332234,dinoflagellate,pavlova
18,0.0263219997286796,0.1235381353990419,dinoflagellate,pavlova
20,0.0290460009127855,0.122483021100561,dinoflagellate,pavlova
25,0.0394069999456405,0.1234139465075788,dinoflagellate,pavlova
30,0.037321001291275,0.1648363302637068,dinoflagellate,pavlova
35,0.0529100000858306,0.1414894640863898,dinoflagellate,pavlova
40,0.0681530013680458,0.2027247705308715,dinoflagellate,pavlova
45,0.0786280035972595,0.2152716471103207,dinoflagellate,pavlova
50,0.0748189985752105,0.23823267372817,dinoflagellate,pavlova
60,0.0911979973316192,0.2960037429153855,dinoflagellate,pavlova
70,0.1096929982304573,0.3051209953075583,dinoflagellate,pavlova
80,0.1457419991493225,0.346549736528136,dinoflagellate,pavlova
90,0.1575150042772293,0.3811754889207154,dinoflagellate,pavlova
100,0.1786579936742782,0.4238119600402308,dinoflagellate,pavlova
0,0.0,0.0,dinoflagellate,s. zambalensis
2,-0.0001679999986663,-0.0099786189961948,dinoflagellate,s. zambalensis
4,0.0,-0.0273093948864333,dinoflagellate,s. zambalensis
6,0.0017229999648407,0.0093002564830196,dinoflagellate,s. zambalensis
8,0.0054009999148547,0.0090695759744996,dinoflagellate,s. zambalensis
10,0.0078560002148151,0.0046106125576831,dinoflagellate,s. zambalensis
12,0.010161000303924,0.007341166256893,dinoflagellate,s. zambalensis
14,0.0082750003784894,0.0270775972637822,dinoflagellate,s. zambalensis
16,0.0122530004009604,0.0082914218895533,dinoflagellate,s. zambalensis
18,0.0118500003591179,0.0141568802750813,dinoflagellate,s. zambalensis
20,0.0137849999591708,0.019532378102497,dinoflagellate,s. zambalensis
25,0.0155849996954202,-0.0126623501435342,dinoflagellate,s. zambalensis
30,0.0163819994777441,-0.0017128180036747,dinoflagellate,s. zambalensis
35,0.0170389991253614,-0.0025681281057101,dinoflagellate,s. zambalensis
40,0.0295139998197555,0.0197072032777676,dinoflagellate,s. zambalensis
45,0.026622999459505,0.0114365776280831,dinoflagellate,s. zambalensis
50,0.0340839996933937,0.017640395177216,dinoflagellate,s. zambalensis
60,0.0474760010838508,0.0260800031431402,dinoflagellate,s. zambalensis
70,0.0438969992101192,0.0504815938304104,dinoflagellate,s. zambalensis
80,0.0509230010211467,0.0507520874829725,dinoflagellate,s. zambalensis
90,0.0578659996390342,0.0897684208979901,dinoflagellate,s. zambalensis
100,0.0584000013768672,0.1079034286619385,dinoflagellate,s. zambalensis
