percent,MSI_ref,AS7343,group,species
0,0.0,0.0,chlorophyte,SP012-ORA2
2,0.0002979999990202,0.0219981909039331,chlorophyte,SP012-ORA2
4,-0.0001320000010309,0.0449338718515373,chlorophyte,SP012-ORA2
6,0.0036959999706596,0.0479491946248471,chlorophyte,SP012-ORA2
8,0.0092829996719956,0.0509513651123447,chlorophyte,SP012-ORA2
10,0.0164689999073743,0.0563556972547245,chlorophyte,SP012-ORA2
12,0.006266999989748,0.0641336391297505,chlorophyte,SP012-ORA2
14,0.0032810000702738,0.0546776755836731,chlorophyte,SP012-ORA2
16,0.0103550003841519,0.0708132369251387,chlorophyte,SP012-ORA2
18,0.0114820003509521,0.0551248727827276,chlorophyte,SP012-ORA2
20,0.0210270006209611,0.0685892991864851,chlorophyte,SP012-ORA2
25,0.0188190005719661,0.0743180197571427,chlorophyte,SP012-ORA2
30,0.0240380000323057,0.0921678323784885,chlorophyte,SP012-ORA2
35,0.0261819995939731,0.0855289766143382,chlorophyte,SP012-ORA2
40,0.0216109994798898,0.0810432715667766,chlorophyte,SP012-ORA2
45,0.0234769992530345,0.0784072575250713,chlorophyte,SP012-ORA2
50,0.0168699994683265,0.094212300251365,chlorophyte,SP012-ORA2
60,0.020075999200344,0.10982223611682,chlorophyte,SP012-ORA2
70,0.0224629994481802,0.138068032115314,chlorophyte,SP012-ORA2
80,0.0292409993708133,0.1392107365588359,chlorophyte,SP012-ORA2
90,0.0377900004386901,0.1642123466979335,chlorophyte,SP012-ORA2
100,0.0583660006523132,0.1853612854319788,chlorophyte,SP012-ORA2
0,0.0,0.0,diatom,p. nitzchia
2,-0.0001009999978123,-0.014689616000881,diatom,p. nitzchia
4,-5.8000001445179805e-05,-0.0104119758563655,diatom,p. nitzchia
6,0.0023630000650882,-0.0158156934727266,diatom,p. nitzchia
8,0.0004009999975096,-0.0037529260872702,diatom,p. nitzchia
10,-1.2000000424450263e-05,-0.0082335630572003,diatom,p. nitzchia
12,0.0140690002590417,0.0169863938758816,diatom,p. nitzchia
14,0.0023479999508708,0.018821996110491,diatom,p. nitzchia
16,0.0003919999871868,0.0117221672245905,diatom,p. nitzchia
18,0.0007639999967068,0.0078364252110333,diatom,p. nitzchia
20,0.0078059998340904,0.0230432117100811,diatom,p. nitzchia
25,0.0092209996655583,0.0158911157557695,diatom,p. nitzchia
30,0.0051719998009502,0.0137264436838909,diatom,p. nitzchia
35,0.0028369999490678,0.0150648632104659,diatom,p. nitzchia
40,0.0071080001071095,0.0331065026139897,diatom,p. nitzchia
45,0.0048279999755322,0.0316302529278719,diatom,p. nitzchia
50,0.0091300001367926,0.0318799266510095,diatom,p. nitzchia
60,0.0081719998270273,0.011900162552683,diatom,p. nitzchia
70,0.0107230003923177,0.0116331814400108,diatom,p. nitzchia
80,0.0137440003454685,0.0142839008020029,diatom,p. nitzchia
90,0.0190990008413791,0.0364303531414137,diatom,p. nitzchia
100,0.0175129994750022,0.0393992730375071,diatom,p. nitzchia
0,0.0,0.0,dinoflagellate,t. tetrahele
2,0.0,0.0155885131695864,dinoflagellate,t. tetrahele
4,0.0004539999936241,0.0258049677381819,dinoflagellate,t. tetrahele
6,0.0053159999661147,0.0283153653717532,dinoflagellate,t. tetrahele
8,0.0021889999043196,0.0508170330966898,dinoflagellate,t. tetrahele
10,0.0229959990829229,0.057320902263006,dinoflagellate,t. tetrahele
12,0.0140690002590417,0.0665888091937875,dinoflagellate,t. tetrahele
14,0.040667999535799,0.070753348409503,dinoflagellate,t. tetrahele
16,0.0419769994914531,0.0689534139970801,dinoflagellate,t. tetrahele
18,0.0298050008714199,0.0989222707069341,dinoflagellate,t. tetrahele
20,0.0600950010120868,0.0968368619492852,dinoflagellate,t. tetrahele
25,0.0574069991707801,0.1478320676741922,dinoflagellate,t. tetrahele
30,0.0488420017063617,0.1750476889388874,dinoflagellate,t. tetrahele
35,0.0745140016078949,0.1837163164665816,dinoflagellate,t. tetrahele
40,0.090219996869564,0.2258242328761006,dinoflagellate,t. tetrahele
45,0.0817589983344078,0.2584667153256987,dinoflagellate,t. tetrahele
50,0.099041998386383,0.2636249917104521,dinoflagellate,t. tetrahele
60,0.1158860027790069,0.3098961376273571,dinoflagellate,t. tetrahele
70,0.1305219978094101,0.3585950650830723,dinoflagellate,t. tetrahele
80,0.1417880058288574,0.3696033406375039,dinoflagellate,t. tetrahele
90,0.164792999625206,0.4634725028157657,dinoflagellate,t. tetrahele
100,0.1766770035028457,0.5245383885119894,dinoflagellate,t. tetrahele
0,0.0,0.0,dinoflagellate,pavlova
2,-0.000250999990385,0.0119443734592698,dinoflagellate,pavlova
4,0.0066880001686513,0.0161686584562727,dinoflagellate,pavlova
6,0.0076879998669028,0.0425008049739822,dinoflagellate,pavlova
8,0.0108059998601675,0.0483651337347188,dinoflagellate,pavlova
10,0.011664000339806,0.0561472741767736,dinoflagellate,pavlova
12,0.014461999759078,0.0429937911355374,dinoflagellate,pavlova
14,0.0165880005806684,0.0632811262679828,dinoflagellate,pavlova
16,0.0167759992182254,0.0698443956514959,dinoflagellate,pavlova
18,0.0204590000212192,0.0970572767484029,dinoflagellate,pavlova
20,0.0220459997653961,0.0929254784987941,dinoflagellate,pavlova
25,0.0318260006606578,0.0869118357575199,dinoflagellate,pavlova
30,0.0285849999636411,0.118459592972095,dinoflagellate,pavlova
35,0.0417560003697872,0.0975305711226684,dinoflagellate,pavlova
40,0.0524859987199306,0.1449109784072174,dinoflagellate,pavlova
45,0.0624609999358654,0.1526345636541011,dinoflagellate,pavlova
50,0.0567310005426406,0.1683900667206492,dinoflagellate,pavlova
60,0.0700069963932037,0.2093105237958331,dinoflagellate,pavlova
70,0.0867939963936805,0.2154970685854817,dinoflagellate,pavlova
80,0.1140289977192878,0.2383416588248902,dinoflagellate,pavlova
90,0.1222200021147728,0.2653251653505044,dinoflagellate,pavlova
