shade,MSI_ref,AS7343
red_L,0.404766000000000,0.269827394122792
,0.404766000000000,0.222526869708356
,0.404766000000000,0.222464802516972
,0.404766000000000,0.222464802516972
,0.404766000000000,0.222402744194653
,0.404766000000000,0.221989248512743
red_M,0.457078000000000,0.574797331527902
,0.457078000000000,0.575263212801824
,0.457078000000000,0.575356449058495
,0.457078000000000,0.575356449058495
,0.457078000000000,0.575822930823971
,0.457078000000000,0.575356449058495
red_D,0.457151000000000,0.920670039940454
,0.457151000000000,0.920463577145074
,0.457151000000000,0.920360382542734
,0.457151000000000,0.919947849163909
,0.457151000000000,0.919329782908875
,0.457151000000000,0.919432732887289
ylw_L,0.335842000000000,0.118207006613328
,0.335842000000000,0.217978164326563
,0.335842000000000,0.212848882721126
,0.335842000000000,0.212585912999556
,0.335842000000000,0.212626359517108
,0.335842000000000,0.212788183266313
ylw_M,0.434632000000000,0.349387174697469
,0.434632000000000,0.206900376109348
,0.434632000000000,0.206920335871371
,0.434632000000000,0.206760683454573
,0.434632000000000,0.206920335871371
,0.434632000000000,0.207000184094045
ylw_D,0.461456000000000,0.524385276652423
,0.461456000000000,0.365159890409
,0.461456000000000,0.364987517125569
,0.461456000000000,0.364901356132943
,0.461456000000000,0.364987517125569
,0.461456000000000,0.365102425045779
grn_L,0.248910000000000,0.0837166094883545
,0.248910000000000,0.0840473974354456
,0.248910000000000,0.0823210556445157
,0.248910000000000,0.0739965202589488
,0.248910000000000,0.070279325494074
,0.248910000000000,0.0838970080434368
grn_M,0.377823000000000,0.2429450964614
,0.377823000000000,0.242165082215174
,0.377823000000000,0.246844438597683
,0.377823000000000,0.2550395424169
,0.377823000000000,0.253148255212349
,0.377823000000000,0.240134958607025
grn_D,0.439881000000000,0.42534942622959
,0.439881000000000,0.400588191866793
,0.439881000000000,0.415139472154861
,0.439881000000000,0.428862243174919
,0.439881000000000,0.425415443480139
,0.439881000000000,0.417985830329477
blu_L,0.028111000000000,0.0346784483616006
,0.028111000000000,0.0330837709956885
,0.028111000000000,0.0330570196647549
,0.028111000000000,0.0327227669876663
,0.028111000000000,0.0329500308160514
,0.028111000000000,0.0327094022300248
blu_M,0.028892000000000,0.0867784861273568
,0.028892000000000,0.0958175333410349
,0.028892000000000,0.102310467722038
,0.028892000000000,0.0954622190274397
,0.028892000000000,0.10074453798805
,0.028892000000000,0.104701547409061
blu_D,0.085635000000000,0.178658389824875
,0.085635000000000,0.179294746273185
,0.085635000000000,0.179669509623794
,0.085635000000000,0.182754828860884
,0.085635000000000,0.177034298872644
,0.085635000000000,0.186166578032736
vio_L,0.431411000000000,0.568969650397094
,0.431411000000000,0.384791697766483
,0.431411000000000,0.38521278809289
,0.431411000000000,0.386448335105197
,0.431411000000000,0.385784921658468
,0.431411000000000,0.385333174644431
vio_M,0.450856000000000,0.798294436570558
,0.450856000000000,0.520176803937474
,0.450856000000000,0.520300002221664
,0.450856000000000,0.520135745607791
,0.450856000000000,0.520176803937474
,0.450856000000000,0.520300002221664
vio_D,0.455032000000000,1.19916557773167
,0.455032000000000,0.842367357433045
,0.455032000000000,0.841936466950329
,0.455032000000000,0.84133393759527
,0.455032000000000,0.841419962054679
,0.455032000000000,0.841247930172095
