shade,MSI_ref,AS7343,AS7343_calib
red_L,0.321655,0.159249146332542,0.26737157
,0.321655,0.174950326583754,0.26737157
,0.321655,0.175132189408777,0.26737157
,0.321655,0.175447598822905,0.26737157
,0.321655,0.17532626039959,0.26737157
,0.321655,0.174417301211299,0.26737157
red_M,0.449903,0.507185190506748,0.14536165
,0.449903,0.507680410074655,0.14536165
,0.449903,0.508045670383741,0.14536165
,0.449903,0.50817619497881,0.14536165
,0.449903,0.508123980433283,0.14536165
,0.449903,0.5076543318039,0.14536165
red_D,0.456915,1.0239936472525,0.75738084
,0.456915,1.02339467929758,0.75738084
,0.456915,1.02322369721588,0.75738084
,0.456915,1.02356572872157,0.75738084
,0.456915,1.02254044125288,0.75738084
,0.456915,1.02254044125288,0.75738084
ylw_L,0.433108,0.273992916580649,0.14536165
,0.433108,0.307404490919255,0.14536165
,0.433108,0.303052183379563,0.14536165
,0.433108,0.302987066881667,0.14536165
,0.433108,0.303068464029671,0.14536165
,0.433108,0.303101027160968,0.14536165
ylw_M,0.459437,0.701945638058923,0.75738084
,0.459437,0.467220459282047,0.14536165
,0.459437,0.467030427235301,0.14536165
,0.459437,0.466935442384596,0.14536165
,0.459437,0.467196700728366,0.14536165
,0.459437,0.466887957748434,0.14536165
ylw_D,0.459461,0.87877174412902,0.75738084
,0.459461,0.733537697528629,0.75738084
,0.459461,0.733493831614556,0.75738084
,0.459461,0.733449970130713,0.75738084
,0.459461,0.733143063715102,0.75738084
,0.459461,0.733406113076205,0.75738084
grn_L,0.383805,0.149275022523075,0.26737157
,0.383805,0.15000688974672,0.26737157
,0.383805,0.146620938638707,0.26737157
,0.383805,0.136885076174048,0.26737157
,0.383805,0.137785468184043,0.26737157
,0.383805,0.149629366696202,0.26737157
grn_M,0.450923,0.398596796038449,0.14536165
,0.450923,0.396633445236068,0.14536165
,0.450923,0.401487082585154,0.14536165
,0.450923,0.407698741095623,0.14536165
,0.450923,0.407553751878904,0.14536165
,0.450923,0.394739247666698,0.14536165
grn_D,0.455584,0.675134681441309,0.39868087
,0.455584,0.650571091770787,0.39868087
,0.455584,0.663033399255479,0.39868087
,0.455584,0.678599815371031,0.6656516
,0.455584,0.676940801873844,0.6656516
,0.455584,0.670443271374459,0.39868087
blu_L,0.027034,0.0152709302422095,0.17173181
,0.027034,0.0153380740408788,0.17173181
,0.027034,0.0151870150891287,0.17173181
,0.027034,0.0148682852993905,0.17173181
,0.027034,0.0147341532317197,0.17173181
,0.027034,0.0147006266867333,0.17173181
blu_M,0.027874,0.0218412176914225,0.17173181
,0.027874,0.0315948584750654,0.17173181
,0.027874,0.0377023898146717,0.17173181
,0.027874,0.031046237398932,0.17173181
,0.027874,0.0362466971165513,0.17173181
,0.027874,0.0402460959530631,0.17173181
blu_D,0.088053,0.0778464104663691,0.17173181
,0.088053,0.0784963269471174,0.17173181
,0.088053,0.0794876232164326,0.17173181
,0.088053,0.0814574814346238,0.17173181
,0.088053,0.0775072882032431,0.17173181
,0.088053,0.0854242066666528,0.17173181
vio_L,0.365646,0.311850695026449,0.14536165
,0.365646,0.252399212040437,0.14536165
,0.365646,0.252355749995677,0.14536165
,0.365646,0.254810916093548,0.14536165
,0.365646,0.252761564992443,0.14536165
,0.365646,0.252457168200115,0.14536165
vio_M,0.435629,0.46468563634549,0.14536165
,0.435629,0.346687568639624,0.14536165
,0.435629,0.346741575290431,0.14536165
,0.435629,0.34677758345577,0.14536165
,0.435629,0.346741575290431,0.14536165
,0.435629,0.346669567915028,0.14536165
vio_D,0.449936,0.739056126058274,0.75738084
,0.449936,0.537163299472509,0.29808083
,0.449936,0.536410356720493,0.29808083
,0.449936,0.536215362241522,0.29808083
,0.449936,0.535742168399333,0.29808083
,0.449936,0.535742168399333,0.29808083
