450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,rf,svc,xgb_f,xgb_d,regr_xgb_f
0.0127837621,0.0043449681,0.0048766015,0.0017275962,0.0037704157,0.0027244596,0.0014260111,0.0031690164,2,2,2,2,5.920039
0.0177269205,0.0197937116,0.0195403453,0.0246039163,0.0180382933,0.0157198571,0.0182430223,0.0316578858,2,1,1,2,25.307137
0.0179846734,0.0186988451,0.0176109150,0.0225722417,0.0181834586,0.0186397806,0.0194101874,0.0282278378,2,1,1,0,24.045708
0.1344821751,0.1287555099,0.1159877554,0.1424581259,0.1039648280,0.0992481336,0.1130871847,0.1813140661,2,2,1,2,48.859505
0.0548442081,0.0558526367,0.0518425629,0.0634636059,0.0470167287,0.0454223156,0.0518807061,0.0790825635,2,2,2,0,60.404980
0.0047617820,0.0054389043,0.0049797152,0.0051980596,0.0044043888,0.0051317117,0.0044817994,0.0062834378,2,1,1,1,1.628749
0.0467876233,0.0377366170,0.0360486694,0.0397872627,0.0318100601,0.0309075285,0.0331568457,0.0538514256,2,2,2,2,60.306210
0.0253628865,0.0225359611,0.0218940526,0.0268317126,0.0213350486,0.0222114269,0.0239983201,0.0316739902,2,1,1,0,24.588131
0.0326473564,0.0365614183,0.0321169235,0.0427921601,0.0362824686,0.0309880860,0.0366392359,0.0526576079,2,1,1,0,23.474661
0.0402799621,0.0308298450,0.0284861885,0.0308356080,0.0236829985,0.0242054705,0.0246266983,0.0429766029,2,1,1,2,25.339344
0.0078404993,0.0085481135,0.0083184876,0.0106294807,0.0061523933,0.0067403372,0.0075808931,0.0128855603,2,1,1,1,5.041613
0.1493814588,0.1430384070,0.1287391484,0.1573177725,0.1148940325,0.1097758561,0.1248098016,0.2024521530,2,2,1,2,48.864758
-0.0030444129,-0.0070437221,-0.0061656963,-0.0104647679,-0.0054131537,-0.0058015776,-0.0075378083,-0.0127332518,2,2,1,2,-21.635311
0.0418951400,0.0400537513,0.0370437354,0.0480666943,0.0363684632,0.0371044204,0.0415380709,0.0576019436,2,1,1,0,33.692356
0.0286129881,0.0307515115,0.0283584315,0.0348211154,0.0257102717,0.0245412551,0.0275595915,0.0430408344,2,1,1,2,23.816591
0.0221311171,0.0198434573,0.0194485020,0.0258756988,0.0191040318,0.0197846554,0.0212026406,0.0301986896,2,1,1,0,24.588131
0.0129795019,0.0046739220,0.0052575460,0.0019955337,0.0041288855,0.0030905646,0.0014927255,0.0035774307,2,2,1,2,5.880375
0.0790804178,0.0778715760,0.0699662715,0.0914987326,0.0672278255,0.0693349168,0.0804316923,0.1134289801,2,2,1,2,72.818657
0.0319275483,0.0366022438,0.0323571004,0.0439239442,0.0288200490,0.0297056846,0.0376877971,0.0544058941,2,1,1,0,23.474661
0.0158062689,0.0196242258,0.0193962902,0.0247796047,0.0162549913,0.0143305324,0.0194755513,0.0312761702,2,1,1,1,19.181620
0.0035786247,-0.0028680270,-0.0017358732,-0.0039270557,-0.0024088668,-0.0018875183,-0.0033990364,-0.0047069965,2,2,2,2,-14.847014
0.1491049826,0.1427999735,0.1287169456,0.1571774483,0.1134707853,0.1088862121,0.1242931634,0.2017322630,2,2,1,2,48.864758
0.0067180949,0.0035818829,0.0034308974,0.0019224408,0.0046154964,0.0049934285,0.0010126473,0.0026387449,2,2,1,2,7.378904
0.0321115516,0.0368575007,0.0323056206,0.0434605256,0.0291441269,0.0304745976,0.0372540355,0.0540555790,2,1,1,0,23.474661
0.0221311171,0.0197952297,0.0195228755,0.0258512180,0.0191526543,0.0198597331,0.0214169510,0.0304850992,2,1,1,0,24.588131
0.0293390863,0.0337929688,0.0317428075,0.0398074165,0.0284210704,0.0268627349,0.0321623236,0.0504203364,2,1,1,0,23.816591
0.0463948399,0.0373200811,0.0352037773,0.0393830203,0.0313062966,0.0300564449,0.0325907655,0.0535709821,2,2,2,0,60.306210
0.0174775496,0.0168562606,0.0157679413,0.0196400341,0.0177961718,0.0175229423,0.0169122983,0.0237621088,2,1,1,0,23.883623
0.0122232977,0.0139514431,0.0131205758,0.0190498047,0.0128801549,0.0127429878,0.0150167067,0.0255967993,2,1,1,1,7.664933
-0.0018292699,-0.0014269357,-0.0010687363,-0.0011358672,-0.0015516347,-0.0022511999,-0.0019676359,-0.0012608053,2,2,1,1,-19.541136
0.0171961095,0.0164236166,0.0156940836,0.0195434950,0.0175966341,0.0175146814,0.0170712397,0.0238024667,2,1,1,0,22.487200
0.0253381710,0.0227694269,0.0221436527,0.0269299038,0.0215123966,0.0221946370,0.0240253042,0.0317150541,2,1,1,0,24.588131
0.0290384609,0.0339447558,0.0314346440,0.0401405096,0.0283959359,0.0268627349,0.0325797834,0.0501589179,2,1,1,0,23.816591
0.0163228698,0.0075320001,0.0072847405,0.0051521542,0.0067213080,0.0057891612,0.0061385836,0.0076450384,2,2,1,2,17.575041
-0.0033776653,-0.0027532035,-0.0026932759,-0.0020014024,-0.0032498366,-0.0030722166,-0.0027439063,-0.0021920721,2,2,1,1,-23.053150
0.1128220409,0.1076199189,0.0971590504,0.1286352724,0.0948444456,0.0972746983,0.1120728552,0.1609018147,2,2,1,2,73.118057
0.0125342095,0.0138926515,0.0134206107,0.0193713270,0.0128370058,0.0129548358,0.0152200786,0.0254715662,2,1,1,1,7.257913
0.1071802080,0.1032434627,0.0939919725,0.1145920977,0.0849474669,0.0810655430,0.0918817297,0.1443919390,2,2,1,2,73.187454
0.0178553145,0.0218679495,0.0212971438,0.0258326679,0.0195853803,0.0185603816,0.0205781758,0.0320514627,2,1,1,0,25.461552
0.0417226069,0.0425051004,0.0401083902,0.0474925004,0.0356024317,0.0330928639,0.0389267392,0.0601342954,2,2,1,0,33.692356
0.0062496429,0.0079988316,0.0082041528,0.0090737324,0.0091513544,0.0091182468,0.0085191149,0.0110667786,2,1,1,1,7.078603
0.1233334318,0.1165068001,0.1060746759,0.1284273863,0.0945449844,0.0901071727,0.1029133722,0.1641954184,2,2,1,2,48.859505
0.0078005134,0.0078630224,0.0068012015,0.0090249926,0.0055249766,0.0054197037,0.0063616810,0.0127120791,2,1,1,1,5.592290
0.0212362744,0.0088526206,0.0092811286,0.0085340338,0.0075853770,0.0076300264,0.0056390013,0.0138518214,2,2,1,2,22.819477
