percent,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,group,species
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
2,0.0008570000063627,0.0006409999914467,0.000555999984499,0.0002579999854788,0.0002629999944474,0.0002979999990202,5.999999848427251e-05,1.1000000085914508e-05,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
4,0.000253000005614,5.199999941396527e-05,-0.0002809999859891,-0.0002559999993536,-0.000213999999687,-0.0001320000010309,-0.0001069999998435,-0.0001150000025518,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
6,0.0041649998165667,0.0037950000260025,0.0029460000805556,0.0029329999815672,0.0030259999912232,0.0036959999706596,0.0035629998892545,0.0037710000760853,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
8,0.0104430001229047,0.0098559996113181,0.0088170003145933,0.0081000002101063,0.0081970002502202,0.0092829996719956,0.008980999700725,0.0091819996014237,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
10,0.0207240004092454,0.0193920005112886,0.0169990006834268,0.0153989996761083,0.0153280002996325,0.0164689999073743,0.0161460004746913,0.0157130006700754,0,SP012-ORA2
12,0.0086300000548362,0.0079969996586442,0.0064070001244544,0.0055869999341666,0.0056839999742805,0.006266999989748,0.0059989998117089,0.0063069998286664,0,SP012-ORA2
12,0.0086300000548362,0.0079969996586442,0.0064070001244544,0.0055869999341666,0.0056839999742805,0.006266999989748,0.0059989998117089,0.0063069998286664,0,SP012-ORA2
12,0.0086300000548362,0.0079969996586442,0.0064070001244544,0.0055869999341666,0.0056839999742805,0.006266999989748,0.0059989998117089,0.0063069998286664,0,SP012-ORA2
12,0.0086300000548362,0.0079969996586442,0.0064070001244544,0.0055869999341666,0.0056839999742805,0.006266999989748,0.0059989998117089,0.0063069998286664,0,SP012-ORA2
