wavelength,red,ylw,grn,blu,vio
450nm,0.6599266429789437,0.7756106568620816,0.6312660274428422,0.004197331230287987,0.296070943136595
475nm,0.8205913121061937,0.5893492328688256,0.48726047421459046,0.01520148618825873,0.3885231999415938
515nm,1.1158011431712933,0.02771500623136929,0.056749907711084256,0.07108372289742278,0.5996918996071829
550nm,0.04749972596934809,0.03336897133929941,0.06571581476124608,0.13515953237647485,0.08547932829142563
555nm,0.3447428218477928,0.018322560774316855,0.13240274751405426,0.26662913036484975,0.39277275707430115
600nm,0.14516683551487974,0.007380496029099053,0.2101908845922844,0.5296304529875967,0.3752350284228897
640nm,0.0678215302901222,0.01447400114240381,0.36263506065048196,0.8290078887012945,0.49217853430572095
690nm,0.10157817209270303,0.06197180571977623,0.060214711690177114,0.061385317471424256,0.08086367086727317
