,WaveLength,Abs.
0,400.126678,0.163916
1,400.592621,0.163931
2,401.058533,0.163945
3,401.524323,0.16396
4,401.990051,0.163975
5,402.455688,0.163989
6,402.921265,0.164004
7,403.386749,0.164019
8,403.852142,0.164033
9,404.317474,0.164048
10,404.782715,0.164063
11,405.247864,0.164078
12,405.712952,0.164092
13,406.177948,0.164107
14,406.642853,0.164122
15,407.107697,0.164137
16,407.572479,0.164151
17,408.03714,0.164166
18,408.50174,0.164181
19,408.966278,0.164195
20,409.430695,0.164209
21,409.89505,0.164224
22,410.359344,0.164238
23,410.823547,0.164251
24,411.287659,0.164265
25,411.751709,0.164278
26,412.215668,0.164291
27,412.679535,0.164304
28,413.143341,0.164316
29,413.607056,0.164328
30,414.070679,0.164339
31,414.534241,0.16435
32,414.997711,0.164361
33,415.461121,0.164372
34,415.924438,0.164382
35,416.387665,0.164392
36,416.85083,0.164401
37,417.313904,0.16441
38,417.776917,0.164418
39,418.239838,0.164426
40,418.702667,0.164434
41,419.165436,0.164441
42,419.628113,0.164448
43,420.090698,0.164455
44,420.553223,0.164461
45,421.015656,0.164467
46,421.478027,0.164473
47,421.940308,0.164478
48,422.402496,0.164483
49,422.864624,0.164488
50,423.32666,0.164493
51,423.788605,0.164498
52,424.250488,0.164502
53,424.712311,0.164507
54,425.174011,0.164512
55,425.635651,0.164516
56,426.097229,0.16452
57,426.558716,0.164525
58,427.020111,0.164529
59,427.481415,0.164533
60,427.942657,0.164537
61,428.403839,0.16454
62,428.864929,0.164544
63,429.325928,0.164547
64,429.786835,0.164551
65,430.247681,0.164553
66,430.708466,0.164556
67,431.169159,0.164559
68,431.629761,0.164561
69,432.090271,0.164563
70,432.55072,0.164565
71,433.011108,0.164566
72,433.471375,0.164567
73,433.93158,0.164568
74,434.391724,0.164569
75,434.851776,0.164569
76,435.311737,0.164569
77,435.771637,0.164569
78,436.231445,0.164569
79,436.691193,0.164568
80,437.150818,0.164567
81,437.610413,0.164566
82,438.069916,0.164565
83,438.529327,0.164563
84,438.988647,0.164562
85,439.447906,0.16456
86,439.907074,0.164558
87,440.36618,0.164557
88,440.825195,0.164555
89,441.284149,0.164553
90,441.743011,0.164552
91,442.201782,0.164551
92,442.660492,0.16455
93,443.11911,0.164549
94,443.577637,0.164549
95,444.036102,0.164548
96,444.494507,0.164549
97,444.95282,0.164549
98,445.411041,0.16455
99,445.869171,0.164552
100,446.32724,0.164553
101,446.785248,0.164556
102,447.243134,0.164558
103,447.700989,0.164561
104,448.158722,0.164565
105,448.616394,0.164569
106,449.074005,0.164573
107,449.531525,0.164578
108,449.988953,0.164584
109,450.446289,0.16459
110,450.903564,0.164596
111,451.360779,0.164603
112,451.817902,0.164611
113,452.274933,0.164619
114,452.731903,0.164627
115,453.188782,0.164636
116,453.645569,0.164645
117,454.102295,0.164655
118,454.55896,0.164665
119,455.015503,0.164676
120,455.472015,0.164687
121,455.928406,0.164698
122,456.384735,0.16471
123,456.841003,0.164722
124,457.29715,0.164734
125,457.753265,0.164746
126,458.209259,0.164759
127,458.665192,0.164771
128,459.121063,0.164784
129,459.576843,0.164796
130,460.032532,0.164808
131,460.488159,0.16482
132,460.943695,0.164831
133,461.39917,0.164842
134,461.854553,0.164853
135,462.309845,0.164863
136,462.765076,0.164872
137,463.220215,0.164881
138,463.675293,0.164889
139,464.13028,0.164896
140,464.585175,0.164903
141,465.040009,0.164908
142,465.494751,0.164911
143,465.949432,0.164914
144,466.404022,0.164915
145,466.858551,0.164915
146,467.312988,0.164913
147,467.767334,0.16491
148,468.221619,0.164904
149,468.675812,0.164897
150,469.129944,0.164888
151,469.583984,0.164877
152,470.037964,0.164864
153,470.491852,0.164848
154,470.945648,0.164831
155,471.399384,0.16481
156,471.853027,0.164788
157,472.30661,0.164763
158,472.760101,0.164735
159,473.213501,0.164704
160,473.66684,0.164671
161,474.120117,0.164634
162,474.573273,0.164595
163,475.026367,0.164553
164,475.479401,0.164507
165,475.932343,0.164459
166,476.385223,0.164407
167,476.837982,0.164352
168,477.29071,0.164293
169,477.743317,0.164231
170,478.195892,0.164166
171,478.648346,0.164097
172,479.100739,0.164025
173,479.55307,0.163948
174,480.00528,0.163869
175,480.457458,0.163785
176,480.909515,0.163698
177,481.361542,0.163607
178,481.813446,0.163513
179,482.265289,0.163414
180,482.717072,0.163312
181,483.168732,0.163206
182,483.620361,0.163096
183,484.071869,0.162982
184,484.523315,0.162865
185,484.974701,0.162743
186,485.425995,0.162618
187,485.877197,0.162488
188,486.328339,0.162355
189,486.779388,0.162218
190,487.230377,0.162076
191,487.681274,0.161931
192,488.132111,0.161782
193,488.582855,0.161628
194,489.033508,0.161471
195,489.4841,0.161309
196,489.934601,0.161143
197,490.38504,0.160973
198,490.835388,0.160798
199,491.285675,0.160619
200,491.73587,0.160436
201,492.185974,0.160248
202,492.636017,0.160056
203,493.085968,0.15986
204,493.535858,0.159659
205,493.985657,0.159455
206,494.435394,0.159245
207,494.88504,0.159032
208,495.334595,0.158815
209,495.784088,0.158594
210,496.23349,0.158369
211,496.682831,0.15814
212,497.13208,0.157907
213,497.581268,0.15767
