shade,450,475,515,550,555,600,640,690,745,855
L1,0.149275022523075,0.0837166094883545,0.0160940444019166,0.0585658062146019,0.0584871372238771,0.100442897176781,0.120325422951822,0.0940442731141777,0.0568872471427161,0.0974716411252848
L2,0.15000688974672,0.0840473974354456,0.0163660014563114,0.0592753219448733,0.059574343491932,0.10130831323579,0.121356497549997,0.0942256637326247,0.0584136362462653,0.0973155604472694
L3,0.146620938638707,0.0823210556445157,0.0142263326576789,0.0559929138320093,0.0566987363351783,0.0984041976224425,0.118290686878126,0.0914225873893968,0.0551440584451717,0.094554422136991
L4,0.136885076174048,0.0739965202589488,0.00726491269017901,0.0483921472462241,0.0482878868712274,0.0890658357920456,0.109989340973435,0.0823252145663755,0.0475851769190462,0.0841360638999759
L5,0.137785468184043,0.070279325494074,0.00375445366473608,0.0422583697772817,0.0466353969558697,0.0872957237344973,0.105263053325094,0.0753210190964223,0.0423244430727708,0.0792436133173383
L6,0.149629366696202,0.0838970080434368,0.0162195418811254,0.0593605417800363,0.0586725652399902,0.10050839865978,0.120628426160864,0.0951337549822534,0.0577800920319392,0.0978230278785872
M1,0.398596796038449,0.2429450964614,0.0810655476367071,0.164175962532426,0.163607078158346,0.244255916447835,0.283554167565103,0.248189098074592,0.164867931203384,0.255653084838708
M2,0.396633445236068,0.242165082215174,0.0809805478077371,0.163344984109626,0.162697137111431,0.244584388276353,0.282819643691631,0.247091334321215,0.163535665519521,0.254587055602965
M3,0.401487082585154,0.246844438597683,0.084467015244274,0.167734582713158,0.1667673211873,0.248158848634651,0.28766093193221,0.253523519172831,0.168480792121782,0.260852248081595
M4,0.407698741095623,0.2550395424169,0.0917988247467993,0.176388721041217,0.1737903659488,0.255584453458841,0.295297404695853,0.263387502036331,0.177070392560046,0.269754979281302
M5,0.407553751878904,0.253148255212349,0.090617882145132,0.176016925382945,0.172835884834892,0.254350449020651,0.294542765962271,0.262517909406214,0.176409235373834,0.269348961038265
M6,0.394739247666698,0.240134958607025,0.077919524593348,0.15885639065976,0.160503160631082,0.240586670256592,0.278467461605475,0.242536316833932,0.160104921200304,0.250016079314193
D1,0.675134681441309,0.42534942622959,0.141531499106515,0.271896869478079,0.293768822787446,0.45318905115453,0.506846197672397,0.440182397717017,0.292939273807866,0.461382672170264
D2,0.650571091770787,0.400588191866793,0.123018433315422,0.248398699667934,0.273866293102913,0.430423037978447,0.478577822633904,0.407818106861769,0.270946165262526,0.428052482944281
D3,0.663033399255479,0.415139472154861,0.133428084264181,0.262317298278649,0.283599775172721,0.44200188302045,0.495202216508689,0.426809290710614,0.283694575075085,0.44439791283707
D4,0.678599815371031,0.428862243174919,0.144430494336004,0.276696782239255,0.296829874851924,0.456804488396971,0.511145444242825,0.446669063659262,0.29718385606314,0.465734720098837
D5,0.676940801873844,0.425415443480139,0.140318832991624,0.272685441784708,0.294786778099221,0.454489511987674,0.507978648071305,0.441391290583611,0.294156952633496,0.462466602388266
D6,0.670443271374459,0.417985830329477,0.135708283195339,0.264954630218702,0.287605949205015,0.446919022588594,0.499387176612528,0.431221395863366,0.286302392062422,0.45139435060619
