shade,MSI_ref,AS7343
red_L,0.147628,0.2483
,0.147628,0.24571
,0.147628,0.2481
,0.147628,0.21729
,0.147628,0.24897
,0.147628,0.25007
red_M,0.266416,0.57828
,0.266416,0.57783
,0.266416,0.57725
,0.266416,0.57736
,0.266416,0.5775
,0.266416,0.57594
red_D,0.448684,1.09818
,0.448684,1.09332
,0.448684,1.09222
,0.448684,1.0914
,0.448684,1.09023
,0.448684,1.0895
ylw_L,0.230011,0.27235
,0.230011,0.27299
,0.230011,0.27337
,0.230011,0.27317
,0.230011,0.27314
,0.230011,0.27297
ylw_M,0.366747,0.57142
,0.366747,0.57101
,0.366747,0.57088
,0.366747,0.57175
,0.366747,0.57093
,0.366747,0.56877
ylw_D,0.465536,0.8115
,0.465536,0.81706
,0.465536,0.81374
,0.465536,0.81274
,0.465536,0.81788
,0.465536,0.81735
grn_L,0.196723,0.18321
,0.196723,0.18516
,0.196723,0.18868
,0.196723,0.18496
,0.196723,0.18474
,0.196723,0.18475
grn_M,0.284483,0.53759
,0.284483,0.5368
,0.284483,0.5371
,0.284483,0.53881
,0.284483,0.53881
,0.284483,0.53781
grn_D,0.421655,0.76824
,0.421655,0.76549
,0.421655,0.7648
,0.421655,0.76562
,0.421655,0.76734
,0.421655,0.76742
blu_L,0.016824,0.01768
,0.016824,0.01373
,0.016824,0.01849
,0.016824,0.01641
,0.016824,0.01697
,0.016824,0.01613
blu_M,0.029965,0.05014
,0.029965,0.05164
,0.029965,0.04868
,0.029965,0.04861
,0.029965,0.04929
,0.029965,0.05014
blu_D,0.041015,0.07498
,0.041015,0.07609
,0.041015,0.07534
,0.041015,0.07539
,0.041015,0.07552
,0.041015,0.07505
vio_L,0.168606,0.2933
,0.168606,0.29414
,0.168606,0.29457
,0.168606,0.29412
,0.168606,0.29372
,0.168606,0.29434
vio_M,0.178077,0.39104
,0.178077,0.4074
,0.178077,0.41012
,0.178077,0.41025
,0.178077,0.41036
,0.178077,0.41044
vio_D,0.288515,0.65199
,0.288515,0.65064
,0.288515,0.65186
,0.288515,0.65176
,0.288515,0.65189
,0.288515,0.65199
