shade,MSI_ref,AS7343
red_L,0.290409,0.3899
,0.290409,0.38658
,0.290409,0.38834
,0.290409,0.32724
,0.290409,0.38928
,0.290409,0.39028
red_M,0.415769,0.8313
,0.415769,0.83105
,0.415769,0.83043
,0.415769,0.83055
,0.415769,0.83111
,0.415769,0.82914
red_D,0.461485,1.24556
,0.461485,1.24412
,0.461485,1.24316
,0.461485,1.2446
,0.461485,1.24476
,0.461485,1.24396
ylw_L,0.053905,0.02012
,0.053905,0.0208
,0.053905,0.02069
,0.053905,0.02056
,0.053905,0.0206
,0.053905,0.0208
ylw_M,0.034014,0.05286
,0.034014,0.05267
,0.034014,0.05275
,0.034014,0.05317
,0.034014,0.05242
,0.034014,0.05118
ylw_D,0.084036,0.07715
,0.084036,0.08113
,0.084036,0.07765
,0.084036,0.07664
,0.084036,0.07982
,0.084036,0.07903
grn_L,0.025766,0.04044
,0.025766,0.04676
,0.025766,0.04749
,0.025766,0.04239
,0.025766,0.04241
,0.025766,0.04205
grn_M,0.021999,0.11812
,0.021999,0.11805
,0.021999,0.11782
,0.021999,0.11883
,0.021999,0.11851
,0.021999,0.11732
grn_D,0.048681,0.17159
,0.048681,0.16903
,0.048681,0.16953
,0.048681,0.16873
,0.048681,0.17097
,0.048681,0.17105
blu_L,0.019669,0.0336
,0.019669,0.03186
,0.019669,0.03594
,0.019669,0.03439
,0.019669,0.03505
,0.019669,0.03469
blu_M,0.039628,0.12821
,0.039628,0.12953
,0.039628,0.12646
,0.039628,0.12671
,0.039628,0.12731
,0.039628,0.12821
blu_D,0.107637,0.2311
,0.107637,0.22562
,0.107637,0.22486
,0.107637,0.22476
,0.107637,0.22479
,0.107637,0.22447
vio_L,0.321372,0.51081
,0.321372,0.5115
,0.321372,0.512
,0.321372,0.51167
,0.321372,0.50952
,0.321372,0.51138
vio_M,0.326104,0.70053
,0.326104,0.71567
,0.326104,0.72044
,0.326104,0.72049
,0.326104,0.72068
,0.326104,0.72087
vio_D,0.424524,1.06862
,0.424524,1.06851
,0.424524,1.06862
,0.424524,1.06851
,0.424524,1.06862
,0.424524,1.06862
