shade,MSI_ref,AS7343
red_L,0.008082,0.08155
,0.008082,0.07825
,0.008082,0.08026
,0.008082,0.09624
,0.008082,0.08127
,0.008082,0.0822
red_M,0.015815,0.14134
,0.015815,0.14103
,0.015815,0.14074
,0.015815,0.14098
,0.015815,0.14129
,0.015815,0.13968
red_D,0.043496,0.19275
,0.043496,0.18566
,0.043496,0.18511
,0.043496,0.18224
,0.043496,0.18104
,0.043496,0.17963
ylw_L,0.043444,0.01572
,0.043444,0.01634
,0.043444,0.01625
,0.043444,0.0162
,0.043444,0.01628
,0.043444,0.01616
ylw_M,0.019375,0.03872
,0.019375,0.03842
,0.019375,0.03843
,0.019375,0.03931
,0.019375,0.03847
,0.019375,0.03668
ylw_D,0.013428,0.03664
,0.013428,0.04125
,0.013428,0.03759
,0.013428,0.03691
,0.013428,0.04229
,0.013428,0.03956
grn_L,0.148927,0.1292
,0.148927,0.13076
,0.148927,0.1351
,0.148927,0.1309
,0.148927,0.13052
,0.148927,0.13034
grn_M,0.188107,0.36614
,0.188107,0.36509
,0.188107,0.36535
,0.188107,0.36741
,0.188107,0.36721
,0.188107,0.36629
grn_D,0.356012,0.55074
,0.356012,0.5465
,0.356012,0.5495
,0.356012,0.54754
,0.356012,0.55091
,0.356012,0.55091
blu_L,0.197500,0.14206
,0.197500,0.13731
,0.197500,0.1432
,0.197500,0.141
,0.197500,0.14157
,0.197500,0.14039
blu_M,0.354789,0.53501
,0.354789,0.5364
,0.354789,0.53296
,0.354789,0.53308
,0.354789,0.53381
,0.354789,0.53501
blu_D,0.479948,0.87227
,0.479948,0.87558
,0.479948,0.87565
,0.479948,0.87558
,0.479948,0.87565
,0.479948,0.87524
vio_L,0.238739,0.38881
,0.238739,0.3898
,0.238739,0.39003
,0.238739,0.38962
,0.238739,0.38903
,0.238739,0.38933
vio_M,0.243827,0.54038
,0.243827,0.55865
,0.243827,0.5621
,0.243827,0.5622
,0.243827,0.56243
,0.243827,0.56247
vio_D,0.381710,0.82058
,0.381710,0.81887
,0.381710,0.82052
,0.381710,0.82052
,0.381710,0.82039
,0.381710,0.82076
