shade,MSI_ref,AS7343
red_L,0.010092,0.09118
,0.010092,0.08705
,0.010092,0.08899
,0.010092,0.06151
,0.010092,0.09014
,0.010092,0.09114
red_M,0.018680,0.14149
,0.018680,0.14137
,0.018680,0.14078
,0.018680,0.14092
,0.018680,0.14143
,0.018680,0.13973
red_D,0.017316,0.15385
,0.017316,0.1512
,0.017316,0.15055
,0.017316,0.14815
,0.017316,0.14855
,0.017316,0.14738
ylw_L,0.049648,0.0241
,0.049648,0.0249
,0.049648,0.02501
,0.049648,0.02479
,0.049648,0.02475
,0.049648,0.02494
ylw_M,0.020304,0.0548
,0.020304,0.05442
,0.020304,0.05433
,0.020304,0.05514
,0.020304,0.05423
,0.020304,0.05261
ylw_D,0.017146,0.05623
,0.017146,0.0612
,0.017146,0.05694
,0.017146,0.05591
,0.017146,0.05953
,0.017146,0.05894
grn_L,0.190754,0.15999
,0.190754,0.16481
,0.190754,0.16642
,0.190754,0.15957
,0.190754,0.15963
,0.190754,0.15892
grn_M,0.240323,0.4488
,0.240323,0.44872
,0.240323,0.44831
,0.240323,0.44989
,0.240323,0.44985
,0.240323,0.44847
grn_D,0.409435,0.64421
,0.409435,0.64155
,0.409435,0.64006
,0.409435,0.64006
,0.409435,0.64291
,0.409435,0.64285
blu_L,0.248662,0.16711
,0.248662,0.16324
,0.248662,0.17087
,0.248662,0.16818
,0.248662,0.16897
,0.248662,0.16836
blu_M,0.404545,0.58814
,0.404545,0.59004
,0.404545,0.58551
,0.404545,0.58591
,0.404545,0.5866
,0.404545,0.58814
blu_D,0.505097,0.889
,0.505097,0.88478
,0.505097,0.88455
,0.505097,0.88444
,0.505097,0.88455
,0.505097,0.88433
vio_L,0.300414,0.45564
,0.300414,0.45628
,0.300414,0.4567
,0.300414,0.45632
,0.300414,0.4537
,0.300414,0.45602
vio_M,0.305021,0.60415
,0.305021,0.62425
,0.305021,0.63015
,0.305021,0.63059
,0.305021,0.6304
,0.305021,0.63028
vio_D,0.436554,0.81738
,0.436554,0.81748
,0.436554,0.81767
,0.436554,0.81748
,0.436554,0.81757
,0.436554,0.81748
