shade,MSI_ref,AS7343
red_L,0.007049,0.2829
,0.007049,0.28309
,0.007049,0.28911
,0.007049,0.01085
,0.007049,0.2894
,0.007049,0.29149
red_M,0.015266,0.56073
,0.015266,0.5602
,0.015266,0.55931
,0.015266,0.55967
,0.015266,0.55126
,0.015266,0.55597
red_D,0.006476,0.76171
,0.006476,0.76171
,0.006476,0.75169
,0.006476,0.7539
,0.006476,0.75307
,0.006476,0.75087
ylw_L,0.034045,0.07403
,0.034045,0.07646
,0.034045,0.07646
,0.034045,0.07594
,0.034045,0.07594
,0.034045,0.07635
ylw_M,0.022886,0.15733
,0.022886,0.15663
,0.022886,0.15656
,0.022886,0.15768
,0.022886,0.15517
,0.022886,0.15385
ylw_D,0.023839,0.18852
,0.023839,0.19695
,0.023839,0.18965
,0.023839,0.18807
,0.023839,0.19359
,0.023839,0.19344
grn_L,0.014784,0.17768
,0.014784,0.18411
,0.014784,0.1862
,0.014784,0.17228
,0.014784,0.17228
,0.014784,0.17214
grn_M,0.003587,0.54234
,0.003587,0.54251
,0.003587,0.542
,0.003587,0.54387
,0.003587,0.54387
,0.003587,0.54099
grn_D,0.006842,0.79748
,0.006842,0.79504
,0.006842,0.77835
,0.006842,0.7887
,0.006842,0.7896
,0.006842,0.7899
blu_L,0.009204,0.13656
,0.009204,0.14315
,0.009204,0.14139
,0.009204,0.14349
,0.009204,0.1445
,0.009204,0.1443
blu_M,0.018622,0.52732
,0.018622,0.53012
,0.018622,0.5221
,0.018622,0.52242
,0.018622,0.5234
,0.018622,0.52732
blu_D,0.074855,0.83115
,0.074855,0.81082
,0.074855,0.81526
,0.074855,0.81462
,0.074855,0.8143
,0.074855,0.81462
vio_L,0.012725,0.72244
,0.012725,0.72476
,0.012725,0.7258
,0.012725,0.72502
,0.012725,0.7245
,0.012725,0.72399
vio_M,0.023046,0.91424
,0.023046,0.95796
,0.023046,0.95752
,0.023046,0.95708
,0.023046,0.95796
,0.023046,0.9584
vio_D,0.024349,1.04753
,0.024349,1.04428
,0.024349,1.04753
,0.024349,1.04753
,0.024349,1.04753
,0.024349,1.04753
