shade,msi
red_L,0.321655000000000
red_M,0.449903000000000
red_D,0.456915000000000
ylw_L,0.433108000000000
ylw_M,0.459437000000000
ylw_D,0.459461000000000
grn_L,0.383805000000000
grn_M,0.450923000000000
grn_D,0.455584000000000
blu_L,0.027034000000000
blu_M,0.027874000000000
blu_D,0.088053000000000
vio_L,0.365646000000000
vio_M,0.435629000000000
vio_D,0.449936000000000
